"Step","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"19","0.043936070054769516","0.043936070054769516","0.043936070054769516","0.04200422018766403","0.04200422018766403","0.04200422018766403","0.04259282350540161","0.04259282350540161","0.04259282350540161","0.04279247298836708","0.04279247298836708","0.04279247298836708","0.042974092066287994","0.042974092066287994","0.042974092066287994"
"20","0.05106186494231224","0.05106186494231224","0.05106186494231224","0.04170304164290428","0.04170304164290428","0.04170304164290428","0.041869260370731354","0.041869260370731354","0.041869260370731354","0.042391832917928696","0.042391832917928696","0.042391832917928696","0.0432918556034565","0.0432918556034565","0.0432918556034565"
"21","0.04678695276379585","0.04678695276379585","0.04678695276379585","0.04150806739926338","0.04150806739926338","0.04150806739926338","0.04193525016307831","0.04193525016307831","0.04193525016307831","0.04269665479660034","0.04269665479660034","0.04269665479660034","0.04225783422589302","0.04225783422589302","0.04225783422589302"
"22","0.045417435467243195","0.045417435467243195","0.045417435467243195","0.04148454591631889","0.04148454591631889","0.04148454591631889","0.04091169685125351","0.04091169685125351","0.04091169685125351","0.041582055389881134","0.041582055389881134","0.041582055389881134","0.04108067974448204","0.04108067974448204","0.04108067974448204"
"23","0.043921273201704025","0.043921273201704025","0.043921273201704025","0.04073980823159218","0.04073980823159218","0.04073980823159218","0.04091213271021843","0.04091213271021843","0.04091213271021843","0.04101970046758652","0.04101970046758652","0.04101970046758652","0.040640685707330704","0.040640685707330704","0.040640685707330704"
"24","0.043304458260536194","0.043304458260536194","0.043304458260536194","0.041047170758247375","0.041047170758247375","0.041047170758247375","0.041930072009563446","0.041930072009563446","0.041930072009563446","0.04106276109814644","0.04106276109814644","0.04106276109814644","0.04021050035953522","0.04021050035953522","0.04021050035953522"
"25","0.0429462231695652","0.0429462231695652","0.0429462231695652","0.04059065878391266","0.04059065878391266","0.04059065878391266","0.04184132069349289","0.04184132069349289","0.04184132069349289","0.04069221764802933","0.04069221764802933","0.04069221764802933","0.04029562696814537","0.04029562696814537","0.04029562696814537"
"26","0.04156285151839256","0.04156285151839256","0.04156285151839256","0.04041779786348343","0.04041779786348343","0.04041779786348343","0.042001042515039444","0.042001042515039444","0.042001042515039444","0.04055868461728096","0.04055868461728096","0.04055868461728096","0.041362155228853226","0.041362155228853226","0.041362155228853226"
"27","0.0410040020942688","0.0410040020942688","0.0410040020942688","0.04002443328499794","0.04002443328499794","0.04002443328499794","0.04134068638086319","0.04134068638086319","0.04134068638086319","0.04035197198390961","0.04035197198390961","0.04035197198390961","0.04100124165415764","0.04100124165415764","0.04100124165415764"
"28","0.0414234921336174","0.0414234921336174","0.0414234921336174","0.0404101125895977","0.0404101125895977","0.0404101125895977","0.040782589465379715","0.040782589465379715","0.040782589465379715","0.04045259580016136","0.04045259580016136","0.04045259580016136","0.04065746068954468","0.04065746068954468","0.04065746068954468"
