"Step","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss__MAX"
"10","0.051781632006168365","0.051781632006168365","0.051781632006168365","0.04389919713139534","0.04389919713139534","0.04389919713139534","0.04842031002044678","0.04842031002044678","0.04842031002044678","0.04323391616344452","0.04323391616344452","0.04323391616344452","0.042322076857089996","0.042322076857089996","0.042322076857089996"
"11","0.050216078758239746","0.050216078758239746","0.050216078758239746","0.042835403233766556","0.042835403233766556","0.042835403233766556","0.047201212495565414","0.047201212495565414","0.047201212495565414","0.04190234839916229","0.04190234839916229","0.04190234839916229","0.04105903208255768","0.04105903208255768","0.04105903208255768"
"12","0.05007762834429741","0.05007762834429741","0.05007762834429741","0.0422278456389904","0.0422278456389904","0.0422278456389904","0.04656334966421127","0.04656334966421127","0.04656334966421127","0.04043656215071678","0.04043656215071678","0.04043656215071678","0.04123025760054588","0.04123025760054588","0.04123025760054588"
"13","0.04782825708389282","0.04782825708389282","0.04782825708389282","0.041697967797517776","0.041697967797517776","0.041697967797517776","0.04587868973612785","0.04587868973612785","0.04587868973612785","0.03982643038034439","0.03982643038034439","0.03982643038034439","0.040661297738552094","0.040661297738552094","0.040661297738552094"
"14","0.04575832933187485","0.04575832933187485","0.04575832933187485","0.04152674973011017","0.04152674973011017","0.04152674973011017","0.0456397570669651","0.0456397570669651","0.0456397570669651","0.04018811509013176","0.04018811509013176","0.04018811509013176","0.04051454737782478","0.04051454737782478","0.04051454737782478"
"15","0.04925337806344032","0.04925337806344032","0.04925337806344032","0.04239517077803612","0.04239517077803612","0.04239517077803612","0.04661554843187332","0.04661554843187332","0.04661554843187332","0.041484199464321136","0.041484199464321136","0.041484199464321136","0.04043367877602577","0.04043367877602577","0.04043367877602577"
"16","0.045116085559129715","0.045116085559129715","0.045116085559129715","0.041736289858818054","0.041736289858818054","0.041736289858818054","0.04394586756825447","0.04394586756825447","0.04394586756825447","0.04101472720503807","0.04101472720503807","0.04101472720503807","0.03976649418473244","0.03976649418473244","0.03976649418473244"
"17","0.04747874289751053","0.04747874289751053","0.04747874289751053","0.040713533759117126","0.040713533759117126","0.040713533759117126","0.0428990013897419","0.0428990013897419","0.0428990013897419","0.03993893042206764","0.03993893042206764","0.03993893042206764","0.03934546932578087","0.03934546932578087","0.03934546932578087"
"18","0.05019402131438255","0.05019402131438255","0.05019402131438255","0.039844583719968796","0.039844583719968796","0.039844583719968796","0.04183183237910271","0.04183183237910271","0.04183183237910271","0.04018058627843857","0.04018058627843857","0.04018058627843857","0.039143968373537064","0.039143968373537064","0.039143968373537064"
"19","0.04682342708110809","0.04682342708110809","0.04682342708110809","0.039895668625831604","0.039895668625831604","0.039895668625831604","0.041652120649814606","0.041652120649814606","0.041652120649814606","0.03980448096990585","0.03980448096990585","0.03980448096990585","0.039208460599184036","0.039208460599184036","0.039208460599184036"
