"Step","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"25","0.040125712752342224","0.040125712752342224","0.040125712752342224","0.040671247988939285","0.040671247988939285","0.040671247988939285","0.039722856134176254","0.039722856134176254","0.039722856134176254","0.03971676528453827","0.03971676528453827","0.03971676528453827","0.039411094039678574","0.039411094039678574","0.039411094039678574"
"26","0.040130116045475006","0.040130116045475006","0.040130116045475006","0.04058007895946503","0.04058007895946503","0.04058007895946503","0.03964624181389809","0.03964624181389809","0.03964624181389809","0.03988836333155632","0.03988836333155632","0.03988836333155632","0.03949218988418579","0.03949218988418579","0.03949218988418579"
"27","0.040245845913887024","0.040245845913887024","0.040245845913887024","0.04004151001572609","0.04004151001572609","0.04004151001572609","0.03929010406136513","0.03929010406136513","0.03929010406136513","0.04014628008008003","0.04014628008008003","0.04014628008008003","0.039107874035835266","0.039107874035835266","0.039107874035835266"
"28","0.04021511226892471","0.04021511226892471","0.04021511226892471","0.03966094180941582","0.03966094180941582","0.03966094180941582","0.039110440760850906","0.039110440760850906","0.039110440760850906","0.039797887206077576","0.039797887206077576","0.039797887206077576","0.0392112098634243","0.0392112098634243","0.0392112098634243"
"29","0.03967607766389847","0.03967607766389847","0.03967607766389847","0.039884068071842194","0.039884068071842194","0.039884068071842194","0.03930754214525223","0.03930754214525223","0.03930754214525223","0.03965993970632553","0.03965993970632553","0.03965993970632553","0.03957293555140495","0.03957293555140495","0.03957293555140495"
"30","0.039662010967731476","0.039662010967731476","0.039662010967731476","0.03984062001109123","0.03984062001109123","0.03984062001109123","0.03928568214178085","0.03928568214178085","0.03928568214178085","0.03975983336567879","0.03975983336567879","0.03975983336567879","0.04018605127930641","0.04018605127930641","0.04018605127930641"
"31","0.03951789066195488","0.03951789066195488","0.03951789066195488","0.03967193886637688","0.03967193886637688","0.03967193886637688","0.03921492397785187","0.03921492397785187","0.03921492397785187","0.03961022570729256","0.03961022570729256","0.03961022570729256","0.039300959557294846","0.039300959557294846","0.039300959557294846"
"32","0.039573825895786285","0.039573825895786285","0.039573825895786285","0.040167760103940964","0.040167760103940964","0.040167760103940964","0.039506297558546066","0.039506297558546066","0.039506297558546066","0.03953961282968521","0.03953961282968521","0.03953961282968521","0.03906239941716194","0.03906239941716194","0.03906239941716194"
"33","0.03919752687215805","0.03919752687215805","0.03919752687215805","0.04015497490763664","0.04015497490763664","0.04015497490763664","0.03919190913438797","0.03919190913438797","0.03919190913438797","0.0389573760330677","0.0389573760330677","0.0389573760330677","0.038814790546894073","0.038814790546894073","0.038814790546894073"
"34","0.03883260488510132","0.03883260488510132","0.03883260488510132","0.039784982800483704","0.039784982800483704","0.039784982800483704","0.0389210507273674","0.0389210507273674","0.0389210507273674","0.03924772888422012","0.03924772888422012","0.03924772888422012","0.03869255632162094","0.03869255632162094","0.03869255632162094"
"35","0.038864027708768845","0.038864027708768845","0.038864027708768845","0.03953103721141815","0.03953103721141815","0.03953103721141815","0.03877147659659386","0.03877147659659386","0.03877147659659386","0.03908352181315422","0.03908352181315422","0.03908352181315422","0.03908032923936844","0.03908032923936844","0.03908032923936844"
"36","0.039194777607917786","0.039194777607917786","0.039194777607917786","0.03939288482069969","0.03939288482069969","0.03939288482069969","0.03877321630716324","0.03877321630716324","0.03877321630716324","0.038793060928583145","0.038793060928583145","0.038793060928583145","0.038588929921388626","0.038588929921388626","0.038588929921388626"
"37","0.03956502303481102","0.03956502303481102","0.03956502303481102","0.03908506780862808","0.03908506780862808","0.03908506780862808","0.03902045264840126","0.03902045264840126","0.03902045264840126","0.03904474899172783","0.03904474899172783","0.03904474899172783","0.03886719048023224","0.03886719048023224","0.03886719048023224"
"38","0.038912806659936905","0.038912806659936905","0.038912806659936905","0.03927866369485855","0.03927866369485855","0.03927866369485855","0.03883140906691551","0.03883140906691551","0.03883140906691551","0.03939344361424446","0.03939344361424446","0.03939344361424446","0.038938216865062714","0.038938216865062714","0.038938216865062714"
"39","0.03897525742650032","0.03897525742650032","0.03897525742650032","0.03946292772889137","0.03946292772889137","0.03946292772889137","0.03915875405073166","0.03915875405073166","0.03915875405073166","0.03904472663998604","0.03904472663998604","0.03904472663998604","0.03872217610478401","0.03872217610478401","0.03872217610478401"
"40","0.03865552693605423","0.03865552693605423","0.03865552693605423","0.03940971568226814","0.03940971568226814","0.03940971568226814","0.03888034075498581","0.03888034075498581","0.03888034075498581","0.03893942013382912","0.03893942013382912","0.03893942013382912","0.03872356191277504","0.03872356191277504","0.03872356191277504"
"41","0.038767777383327484","0.038767777383327484","0.038767777383327484","0.038790278136730194","0.038790278136730194","0.038790278136730194","0.03862402215600014","0.03862402215600014","0.03862402215600014","0.039091531187295914","0.039091531187295914","0.039091531187295914","0.03868941590189934","0.03868941590189934","0.03868941590189934"
"42","0.038823388516902924","0.038823388516902924","0.038823388516902924","0.03930111974477768","0.03930111974477768","0.03930111974477768","0.0384451299905777","0.0384451299905777","0.0384451299905777","0.038523752242326736","0.038523752242326736","0.038523752242326736","0.03861960396170616","0.03861960396170616","0.03861960396170616"
"43","0.03882705792784691","0.03882705792784691","0.03882705792784691","0.03949994966387749","0.03949994966387749","0.03949994966387749","0.038327109068632126","0.038327109068632126","0.038327109068632126","0.03900329768657684","0.03900329768657684","0.03900329768657684","0.037890058010816574","0.037890058010816574","0.037890058010816574"
"44","0.03901511803269386","0.03901511803269386","0.03901511803269386","0.03898905962705612","0.03898905962705612","0.03898905962705612","0.038030628114938736","0.038030628114938736","0.038030628114938736","0.03897685185074806","0.03897685185074806","0.03897685185074806","0.03828303888440132","0.03828303888440132","0.03828303888440132"
"45","0.03877789527177811","0.03877789527177811","0.03877789527177811","0.03898652642965317","0.03898652642965317","0.03898652642965317","0.038716766983270645","0.038716766983270645","0.038716766983270645","0.03873234614729881","0.03873234614729881","0.03873234614729881","0.03824161738157272","0.03824161738157272","0.03824161738157272"
"46","0.038538817316293716","0.038538817316293716","0.038538817316293716","0.03896303102374077","0.03896303102374077","0.03896303102374077","0.03893037885427475","0.03893037885427475","0.03893037885427475","0.03915010765194893","0.03915010765194893","0.03915010765194893","0.038297537714242935","0.038297537714242935","0.038297537714242935"
"47","0.03822403401136398","0.03822403401136398","0.03822403401136398","0.03869028389453888","0.03869028389453888","0.03869028389453888","0.038399700075387955","0.038399700075387955","0.038399700075387955","0.038882020860910416","0.038882020860910416","0.038882020860910416","0.03820556029677391","0.03820556029677391","0.03820556029677391"
"48","0.0383385568857193","0.0383385568857193","0.0383385568857193","0.03871410712599754","0.03871410712599754","0.03871410712599754","0.03900054842233658","0.03900054842233658","0.03900054842233658","0.03875457122921944","0.03875457122921944","0.03875457122921944","0.03829332813620567","0.03829332813620567","0.03829332813620567"
"49","0.03823379427194595","0.03823379427194595","0.03823379427194595","0.038904834538698196","0.038904834538698196","0.038904834538698196","0.03884878009557724","0.03884878009557724","0.03884878009557724","0.03874541074037552","0.03874541074037552","0.03874541074037552","0.039106037467718124","0.039106037467718124","0.039106037467718124"
