"Step","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"10","0.053018782287836075","0.053018782287836075","0.053018782287836075","0.05022082477807999","0.05022082477807999","0.05022082477807999","0.05114167183637619","0.05114167183637619","0.05114167183637619","0.054375942796468735","0.054375942796468735","0.054375942796468735","0.05732901021838188","0.05732901021838188","0.05732901021838188"
"11","0.05275179445743561","0.05275179445743561","0.05275179445743561","0.048426490277051926","0.048426490277051926","0.048426490277051926","0.049051832407712936","0.049051832407712936","0.049051832407712936","0.053981851786375046","0.053981851786375046","0.053981851786375046","0.053501203656196594","0.053501203656196594","0.053501203656196594"
"12","0.05283303186297417","0.05283303186297417","0.05283303186297417","0.04648694023489952","0.04648694023489952","0.04648694023489952","0.05125511810183525","0.05125511810183525","0.05125511810183525","0.05351568013429642","0.05351568013429642","0.05351568013429642","0.053260982036590576","0.053260982036590576","0.053260982036590576"
"13","0.052534475922584534","0.052534475922584534","0.052534475922584534","0.04623807966709137","0.04623807966709137","0.04623807966709137","0.05745704472064972","0.05745704472064972","0.05745704472064972","0.05243890732526779","0.05243890732526779","0.05243890732526779","0.053935468196868896","0.053935468196868896","0.053935468196868896"
"14","0.052311480045318604","0.052311480045318604","0.052311480045318604","0.04543199762701988","0.04543199762701988","0.04543199762701988","0.051235731691122055","0.051235731691122055","0.051235731691122055","0.05159248411655426","0.05159248411655426","0.05159248411655426","0.050854213535785675","0.050854213535785675","0.050854213535785675"
"15","0.05179828777909279","0.05179828777909279","0.05179828777909279","0.04500460997223854","0.04500460997223854","0.04500460997223854","0.04778964817523956","0.04778964817523956","0.04778964817523956","0.0509951189160347","0.0509951189160347","0.0509951189160347","0.04967702925205231","0.04967702925205231","0.04967702925205231"
"16","0.050568483769893646","0.050568483769893646","0.050568483769893646","0.04295043647289276","0.04295043647289276","0.04295043647289276","0.04762212559580803","0.04762212559580803","0.04762212559580803","0.048949774354696274","0.048949774354696274","0.048949774354696274","0.05418919771909714","0.05418919771909714","0.05418919771909714"
"17","0.05586980655789375","0.05586980655789375","0.05586980655789375","0.04450329765677452","0.04450329765677452","0.04450329765677452","0.045486535876989365","0.045486535876989365","0.045486535876989365","0.0537249818444252","0.0537249818444252","0.0537249818444252","0.051974549889564514","0.051974549889564514","0.051974549889564514"
"18","0.05210486799478531","0.05210486799478531","0.05210486799478531","0.04413055256009102","0.04413055256009102","0.04413055256009102","0.04579080641269684","0.04579080641269684","0.04579080641269684","0.05252040550112724","0.05252040550112724","0.05252040550112724","0.05202596262097359","0.05202596262097359","0.05202596262097359"
"19","0.05122533068060875","0.05122533068060875","0.05122533068060875","0.043280381709337234","0.043280381709337234","0.043280381709337234","0.0456588938832283","0.0456588938832283","0.0456588938832283","0.05185854807496071","0.05185854807496071","0.05185854807496071","0.04866272583603859","0.04866272583603859","0.04866272583603859"
"20","0.05086292326450348","0.05086292326450348","0.05086292326450348","0.042508721351623535","0.042508721351623535","0.042508721351623535","0.0454210564494133","0.0454210564494133","0.0454210564494133","0.05098777636885643","0.05098777636885643","0.05098777636885643","0.04740617796778679","0.04740617796778679","0.04740617796778679"
"21","0.0503305122256279","0.0503305122256279","0.0503305122256279","0.04244889318943024","0.04244889318943024","0.04244889318943024","0.04334195330739021","0.04334195330739021","0.04334195330739021","0.05002303048968315","0.05002303048968315","0.05002303048968315","0.04925479367375374","0.04925479367375374","0.04925479367375374"
"22","0.050151530653238297","0.050151530653238297","0.050151530653238297","0.04080731049180031","0.04080731049180031","0.04080731049180031","0.05419715866446495","0.05419715866446495","0.05419715866446495","0.04861803352832794","0.04861803352832794","0.04861803352832794","0.04603827744722366","0.04603827744722366","0.04603827744722366"
"23","0.05021293833851814","0.05021293833851814","0.05021293833851814","0.04126272723078728","0.04126272723078728","0.04126272723078728","0.05213036760687828","0.05213036760687828","0.05213036760687828","0.048137251287698746","0.048137251287698746","0.048137251287698746","0.045412834733724594","0.045412834733724594","0.045412834733724594"
"24","0.04999947175383568","0.04999947175383568","0.04999947175383568","0.040195953100919724","0.040195953100919724","0.040195953100919724","0.049079351127147675","0.049079351127147675","0.049079351127147675","0.04981577768921852","0.04981577768921852","0.04981577768921852","0.04770177602767944","0.04770177602767944","0.04770177602767944"
"25","0.04977155476808548","0.04977155476808548","0.04977155476808548","0.04162691533565521","0.04162691533565521","0.04162691533565521","0.046087298542261124","0.046087298542261124","0.046087298542261124","0.04829615354537964","0.04829615354537964","0.04829615354537964","0.04513643682003021","0.04513643682003021","0.04513643682003021"
"26","0.048800405114889145","0.048800405114889145","0.048800405114889145","0.04059707000851631","0.04059707000851631","0.04059707000851631","0.0456446073949337","0.0456446073949337","0.0456446073949337","0.04819846525788307","0.04819846525788307","0.04819846525788307","0.04320015385746956","0.04320015385746956","0.04320015385746956"
"27","0.04795200005173683","0.04795200005173683","0.04795200005173683","0.040553655475378036","0.040553655475378036","0.040553655475378036","0.0437421053647995","0.0437421053647995","0.0437421053647995","0.04511544853448868","0.04511544853448868","0.04511544853448868","0.043015606701374054","0.043015606701374054","0.043015606701374054"
"28","0.049800772219896317","0.049800772219896317","0.049800772219896317","0.04019976034760475","0.04019976034760475","0.04019976034760475","0.04297146573662758","0.04297146573662758","0.04297146573662758","0.04560970887541771","0.04560970887541771","0.04560970887541771","0.04084412753582001","0.04084412753582001","0.04084412753582001"
"29","0.047909628599882126","0.047909628599882126","0.047909628599882126","0.03997321054339409","0.03997321054339409","0.03997321054339409","0.04187757149338722","0.04187757149338722","0.04187757149338722","0.04471605271100998","0.04471605271100998","0.04471605271100998","0.04136427864432335","0.04136427864432335","0.04136427864432335"
"30","0.047410331666469574","0.047410331666469574","0.047410331666469574","0.03996296972036362","0.03996296972036362","0.03996296972036362","0.04206845909357071","0.04206845909357071","0.04206845909357071","0.04386962205171585","0.04386962205171585","0.04386962205171585","0.04082184657454491","0.04082184657454491","0.04082184657454491"
"31","0.04777449741959572","0.04777449741959572","0.04777449741959572","0.03973972052335739","0.03973972052335739","0.03973972052335739","0.041746579110622406","0.041746579110622406","0.041746579110622406","0.043743424117565155","0.043743424117565155","0.043743424117565155","0.04168085381388664","0.04168085381388664","0.04168085381388664"
"32","0.04485354945063591","0.04485354945063591","0.04485354945063591","0.03983408585190773","0.03983408585190773","0.03983408585190773","0.04191510006785393","0.04191510006785393","0.04191510006785393","0.04561780020594597","0.04561780020594597","0.04561780020594597","0.04270683601498604","0.04270683601498604","0.04270683601498604"
"33","0.04754246771335602","0.04754246771335602","0.04754246771335602","0.039670251309871674","0.039670251309871674","0.039670251309871674","0.04162980616092682","0.04162980616092682","0.04162980616092682","0.04453391209244728","0.04453391209244728","0.04453391209244728","0.040975138545036316","0.040975138545036316","0.040975138545036316"
"34","0.05461928993463516","0.05461928993463516","0.05461928993463516","0.04014195129275322","0.04014195129275322","0.04014195129275322","0.040354255586862564","0.040354255586862564","0.040354255586862564","0.04405961185693741","0.04405961185693741","0.04405961185693741","0.040946755558252335","0.040946755558252335","0.040946755558252335"
"35","0.0477067232131958","0.0477067232131958","0.0477067232131958","0.03965716063976288","0.03965716063976288","0.03965716063976288","0.04062604904174805","0.04062604904174805","0.04062604904174805","0.041948460042476654","0.041948460042476654","0.041948460042476654","0.04195113852620125","0.04195113852620125","0.04195113852620125"
"36","0.048994798213243484","0.048994798213243484","0.048994798213243484","0.03906054422259331","0.03906054422259331","0.03906054422259331","0.04051514342427254","0.04051514342427254","0.04051514342427254","0.04187708720564842","0.04187708720564842","0.04187708720564842","0.04231002554297447","0.04231002554297447","0.04231002554297447"
"37","0.04700528830289841","0.04700528830289841","0.04700528830289841","0.03949793428182602","0.03949793428182602","0.03949793428182602","0.04030032083392143","0.04030032083392143","0.04030032083392143","0.04359317570924759","0.04359317570924759","0.04359317570924759","0.04468025267124176","0.04468025267124176","0.04468025267124176"
"38","0.04563808813691139","0.04563808813691139","0.04563808813691139","0.0396769717335701","0.0396769717335701","0.0396769717335701","0.03995576873421669","0.03995576873421669","0.03995576873421669","0.043555568903684616","0.043555568903684616","0.043555568903684616","0.041715387254953384","0.041715387254953384","0.041715387254953384"
"39","0.04487054422497749","0.04487054422497749","0.04487054422497749","0.03970310837030411","0.03970310837030411","0.03970310837030411","0.039884302765131","0.039884302765131","0.039884302765131","0.044752322137355804","0.044752322137355804","0.044752322137355804","0.0407097153365612","0.0407097153365612","0.0407097153365612"
"40","0.049051329493522644","0.049051329493522644","0.049051329493522644","0.039705224335193634","0.039705224335193634","0.039705224335193634","0.03966344892978668","0.03966344892978668","0.03966344892978668","0.04271533340215683","0.04271533340215683","0.04271533340215683","0.04764442518353462","0.04764442518353462","0.04764442518353462"
"41","0.046421539038419724","0.046421539038419724","0.046421539038419724","0.0400058887898922","0.0400058887898922","0.0400058887898922","0.040085386484861374","0.040085386484861374","0.040085386484861374","0.04172878712415695","0.04172878712415695","0.04172878712415695","0.04407382756471634","0.04407382756471634","0.04407382756471634"
"42","0.04426942765712738","0.04426942765712738","0.04426942765712738","0.03945952281355858","0.03945952281355858","0.03945952281355858","0.039779022336006165","0.039779022336006165","0.039779022336006165","0.0404055118560791","0.0404055118560791","0.0404055118560791","0.04279803857207298","0.04279803857207298","0.04279803857207298"
"43","0.04326747730374336","0.04326747730374336","0.04326747730374336","0.03981829807162285","0.03981829807162285","0.03981829807162285","0.039073359221220016","0.039073359221220016","0.039073359221220016","0.03986130654811859","0.03986130654811859","0.03986130654811859","0.04182000830769539","0.04182000830769539","0.04182000830769539"
"44","0.04407915100455284","0.04407915100455284","0.04407915100455284","0.039034079760313034","0.039034079760313034","0.039034079760313034","0.0395522378385067","0.0395522378385067","0.0395522378385067","0.04051188752055168","0.04051188752055168","0.04051188752055168","0.04097544401884079","0.04097544401884079","0.04097544401884079"
"45","0.04324561357498169","0.04324561357498169","0.04324561357498169","0.03926656022667885","0.03926656022667885","0.03926656022667885","0.03892236948013306","0.03892236948013306","0.03892236948013306","0.03995960205793381","0.03995960205793381","0.03995960205793381","0.04068668559193611","0.04068668559193611","0.04068668559193611"
"46","0.04146420583128929","0.04146420583128929","0.04146420583128929","0.040132202208042145","0.040132202208042145","0.040132202208042145","0.03908403962850571","0.03908403962850571","0.03908403962850571","0.04026821628212929","0.04026821628212929","0.04026821628212929","0.040652018040418625","0.040652018040418625","0.040652018040418625"
"47","0.04025282710790634","0.04025282710790634","0.04025282710790634","0.03953784704208374","0.03953784704208374","0.03953784704208374","0.039578720927238464","0.039578720927238464","0.039578720927238464","0.0405307374894619","0.0405307374894619","0.0405307374894619","0.042423494160175323","0.042423494160175323","0.042423494160175323"
"48","0.04046398401260376","0.04046398401260376","0.04046398401260376","0.03873100131750107","0.03873100131750107","0.03873100131750107","0.03887001797556877","0.03887001797556877","0.03887001797556877","0.039817649871110916","0.039817649871110916","0.039817649871110916","0.0423552580177784","0.0423552580177784","0.0423552580177784"
"49","0.03996030241250992","0.03996030241250992","0.03996030241250992","0.03848768770694733","0.03848768770694733","0.03848768770694733","0.03914160653948784","0.03914160653948784","0.03914160653948784","0.04034318029880524","0.04034318029880524","0.04034318029880524","0.04039435088634491","0.04039435088634491","0.04039435088634491"
