"Step","CostFourierVelModel_MLP_32_2 - train/loss","CostFourierVelModel_MLP_32_2 - train/loss__MIN","CostFourierVelModel_MLP_32_2 - train/loss__MAX","CostFourierVelModel_MLP_32_1 - train/loss","CostFourierVelModel_MLP_32_1 - train/loss__MIN","CostFourierVelModel_MLP_32_1 - train/loss__MAX","CostFourierVelModel_MLP_32_0 - train/loss","CostFourierVelModel_MLP_32_0 - train/loss__MIN","CostFourierVelModel_MLP_32_0 - train/loss__MAX"
"16","0.044747721403837204","0.044747721403837204","0.044747721403837204","0.04433748871088028","0.04433748871088028","0.04433748871088028","0.04633764550089836","0.04633764550089836","0.04633764550089836"
"17","0.043829239904880524","0.043829239904880524","0.043829239904880524","0.04353329911828041","0.04353329911828041","0.04353329911828041","0.04576193541288376","0.04576193541288376","0.04576193541288376"
"18","0.04360359534621239","0.04360359534621239","0.04360359534621239","0.042724382132291794","0.042724382132291794","0.042724382132291794","0.04364283010363579","0.04364283010363579","0.04364283010363579"
"19","0.04223664849996567","0.04223664849996567","0.04223664849996567","0.041813839226961136","0.041813839226961136","0.041813839226961136","0.04348217695951462","0.04348217695951462","0.04348217695951462"
"20","0.04174419492483139","0.04174419492483139","0.04174419492483139","0.0413273461163044","0.0413273461163044","0.0413273461163044","0.04289150983095169","0.04289150983095169","0.04289150983095169"
"21","0.040551263839006424","0.040551263839006424","0.040551263839006424","0.040882740169763565","0.040882740169763565","0.040882740169763565","0.04190002381801605","0.04190002381801605","0.04190002381801605"
"22","0.0400979109108448","0.0400979109108448","0.0400979109108448","0.040922053158283234","0.040922053158283234","0.040922053158283234","0.04119386523962021","0.04119386523962021","0.04119386523962021"
"23","0.040708888322114944","0.040708888322114944","0.040708888322114944","0.04135027900338173","0.04135027900338173","0.04135027900338173","0.04109537973999977","0.04109537973999977","0.04109537973999977"
"24","0.04077686741948128","0.04077686741948128","0.04077686741948128","0.04096539691090584","0.04096539691090584","0.04096539691090584","0.04100830852985382","0.04100830852985382","0.04100830852985382"
"25","0.04076994210481644","0.04076994210481644","0.04076994210481644","0.04018467292189598","0.04018467292189598","0.04018467292189598","0.040629878640174866","0.040629878640174866","0.040629878640174866"
"26","0.04072246700525284","0.04072246700525284","0.04072246700525284","0.039923783391714096","0.039923783391714096","0.039923783391714096","0.040952038019895554","0.040952038019895554","0.040952038019895554"
"27","0.03964279219508171","0.03964279219508171","0.03964279219508171","0.03964211419224739","0.03964211419224739","0.03964211419224739","0.04181252419948578","0.04181252419948578","0.04181252419948578"
"28","0.03952229022979736","0.03952229022979736","0.03952229022979736","0.03941964730620384","0.03941964730620384","0.03941964730620384","0.04050341993570328","0.04050341993570328","0.04050341993570328"
"29","0.039375174790620804","0.039375174790620804","0.039375174790620804","0.03940141573548317","0.03940141573548317","0.03940141573548317","0.0398670993745327","0.0398670993745327","0.0398670993745327"
"30","0.03916539251804352","0.03916539251804352","0.03916539251804352","0.03917057439684868","0.03917057439684868","0.03917057439684868","0.039606038480997086","0.039606038480997086","0.039606038480997086"
"31","0.039521295577287674","0.039521295577287674","0.039521295577287674","0.039320964366197586","0.039320964366197586","0.039320964366197586","0.039139460772275925","0.039139460772275925","0.039139460772275925"
"32","0.039336059242486954","0.039336059242486954","0.039336059242486954","0.039554789662361145","0.039554789662361145","0.039554789662361145","0.03917296230792999","0.03917296230792999","0.03917296230792999"
"33","0.03903355449438095","0.03903355449438095","0.03903355449438095","0.03980172052979469","0.03980172052979469","0.03980172052979469","0.03961130604147911","0.03961130604147911","0.03961130604147911"
"34","0.03898249566555023","0.03898249566555023","0.03898249566555023","0.039275314658880234","0.039275314658880234","0.039275314658880234","0.039316676557064056","0.039316676557064056","0.039316676557064056"
"35","0.03872838243842125","0.03872838243842125","0.03872838243842125","0.03866111859679222","0.03866111859679222","0.03866111859679222","0.039307914674282074","0.039307914674282074","0.039307914674282074"
"36","0.0387510247528553","0.0387510247528553","0.0387510247528553","0.03860129043459892","0.03860129043459892","0.03860129043459892","0.039615385234355927","0.039615385234355927","0.039615385234355927"
"37","0.03883512690663338","0.03883512690663338","0.03883512690663338","0.03878805786371231","0.03878805786371231","0.03878805786371231","0.03924713283777237","0.03924713283777237","0.03924713283777237"
"38","0.03856974467635155","0.03856974467635155","0.03856974467635155","0.03862156718969345","0.03862156718969345","0.03862156718969345","0.038595184683799744","0.038595184683799744","0.038595184683799744"
"39","0.038780566304922104","0.038780566304922104","0.038780566304922104","0.03865363448858261","0.03865363448858261","0.03865363448858261","0.03860360011458397","0.03860360011458397","0.03860360011458397"
"40","0.03858663886785507","0.03858663886785507","0.03858663886785507","0.038424503058195114","0.038424503058195114","0.038424503058195114","0.038462378084659576","0.038462378084659576","0.038462378084659576"
"41","0.03866120055317879","0.03866120055317879","0.03866120055317879","0.03836500644683838","0.03836500644683838","0.03836500644683838","0.03830337151885033","0.03830337151885033","0.03830337151885033"
"42","0.038538455963134766","0.038538455963134766","0.038538455963134766","0.038396138697862625","0.038396138697862625","0.038396138697862625","0.038637686520814896","0.038637686520814896","0.038637686520814896"
"43","0.038427386432886124","0.038427386432886124","0.038427386432886124","0.03824400529265404","0.03824400529265404","0.03824400529265404","0.03836158663034439","0.03836158663034439","0.03836158663034439"
"44","0.03827374055981636","0.03827374055981636","0.03827374055981636","0.03805121034383774","0.03805121034383774","0.03805121034383774","0.03782905265688896","0.03782905265688896","0.03782905265688896"
"45","0.038264837116003036","0.038264837116003036","0.038264837116003036","0.03816215321421623","0.03816215321421623","0.03816215321421623","0.038021519780159","0.038021519780159","0.038021519780159"
"46","0.038423117250204086","0.038423117250204086","0.038423117250204086","0.03858233243227005","0.03858233243227005","0.03858233243227005","0.03790704160928726","0.03790704160928726","0.03790704160928726"
"47","0.03812767565250397","0.03812767565250397","0.03812767565250397","0.03818436339497566","0.03818436339497566","0.03818436339497566","0.03800828382372856","0.03800828382372856","0.03800828382372856"
"48","0.03766907751560211","0.03766907751560211","0.03766907751560211","0.0380990169942379","0.0380990169942379","0.0380990169942379","0.03736688941717148","0.03736688941717148","0.03736688941717148"
"49","0.03786253184080124","0.03786253184080124","0.03786253184080124","0.03744267299771309","0.03744267299771309","0.03744267299771309","0.03746612370014191","0.03746612370014191","0.03746612370014191"
