"Step","CostFourierVelModel_MLP_32_2 - train/loss","CostFourierVelModel_MLP_32_2 - train/loss__MIN","CostFourierVelModel_MLP_32_2 - train/loss__MAX","CostFourierVelModel_MLP_32_1 - train/loss","CostFourierVelModel_MLP_32_1 - train/loss__MIN","CostFourierVelModel_MLP_32_1 - train/loss__MAX","CostFourierVelModel_MLP_32_0 - train/loss","CostFourierVelModel_MLP_32_0 - train/loss__MIN","CostFourierVelModel_MLP_32_0 - train/loss__MAX"
"0","0.1027539074420929","0.1027539074420929","0.1027539074420929","0.09745804220438004","0.09745804220438004","0.09745804220438004","0.09594305604696274","0.09594305604696274","0.09594305604696274"
"1","0.07938768714666367","0.07938768714666367","0.07938768714666367","0.08874578773975372","0.08874578773975372","0.08874578773975372","0.09282132983207703","0.09282132983207703","0.09282132983207703"
"2","0.08995649218559265","0.08995649218559265","0.08995649218559265","0.0846010148525238","0.0846010148525238","0.0846010148525238","0.07720980048179626","0.07720980048179626","0.07720980048179626"
"3","0.08686704188585281","0.08686704188585281","0.08686704188585281","0.06235005706548691","0.06235005706548691","0.06235005706548691","0.07910534739494324","0.07910534739494324","0.07910534739494324"
"4","0.06513185799121857","0.06513185799121857","0.06513185799121857","0.07643106579780579","0.07643106579780579","0.07643106579780579","0.06404595822095871","0.06404595822095871","0.06404595822095871"
"5","0.06329622119665146","0.06329622119665146","0.06329622119665146","0.06246798858046532","0.06246798858046532","0.06246798858046532","0.06800396740436554","0.06800396740436554","0.06800396740436554"
"6","0.06053799018263817","0.06053799018263817","0.06053799018263817","0.06085706874728203","0.06085706874728203","0.06085706874728203","0.06237358972430229","0.06237358972430229","0.06237358972430229"
"7","0.056050047278404236","0.056050047278404236","0.056050047278404236","0.05556033179163933","0.05556033179163933","0.05556033179163933","0.06058589741587639","0.06058589741587639","0.06058589741587639"
"8","0.05246330052614212","0.05246330052614212","0.05246330052614212","0.0538489855825901","0.0538489855825901","0.0538489855825901","0.05946001037955284","0.05946001037955284","0.05946001037955284"
"9","0.049247417598962784","0.049247417598962784","0.049247417598962784","0.05093928799033165","0.05093928799033165","0.05093928799033165","0.05661435425281525","0.05661435425281525","0.05661435425281525"
"10","0.04782140254974365","0.04782140254974365","0.04782140254974365","0.04983218014240265","0.04983218014240265","0.04983218014240265","0.05796969681978226","0.05796969681978226","0.05796969681978226"
"11","0.04728328809142113","0.04728328809142113","0.04728328809142113","0.048298392444849014","0.048298392444849014","0.048298392444849014","0.055150356143713","0.055150356143713","0.055150356143713"
"12","0.04662711173295975","0.04662711173295975","0.04662711173295975","0.047578103840351105","0.047578103840351105","0.047578103840351105","0.05589711666107178","0.05589711666107178","0.05589711666107178"
"13","0.04606057330965996","0.04606057330965996","0.04606057330965996","0.04658179357647896","0.04658179357647896","0.04658179357647896","0.051435064524412155","0.051435064524412155","0.051435064524412155"
"14","0.04598642885684967","0.04598642885684967","0.04598642885684967","0.046068739145994186","0.046068739145994186","0.046068739145994186","0.049730345606803894","0.049730345606803894","0.049730345606803894"
"15","0.044792499393224716","0.044792499393224716","0.044792499393224716","0.04505285248160362","0.04505285248160362","0.04505285248160362","0.04675468057394028","0.04675468057394028","0.04675468057394028"
